label,value
Vanity Fair,599
Notes from the Underground,600
The Monk: A Romance,601
Pharsalia; Dramatic Episodes of the Civil Wars,602
Letters of George Borrow to the British and Foreign Bible Society,603
Gulliver of Mars,604
Pellucidar,605
Indian Why Stories: Sparks from War Eagle's Lodge-Fire,606
"Areopagitica
A Speech for the Liberty of Unlicensed Printing to the Parliament of England",608
"America, Through the Spectacles of an Oriental Diplomat",609
Idylls of the King,610
Prester John,611
"The Constitution of Japan, 1946",612
"The Constitution of the Empire of Japan, 1889",613
"Across the Plains, with Other Memories and Essays",614
Orlando Furioso,615
Poems,617
Codex Junius 11,618
The Warden,619
Sylvie and Bruno,620
The Varieties of Religious Experience: A Study in Human Nature,621
"The Battle of the Books, and other Short Pieces",623
"Looking Backward, 2000 to 1887",624
Ponkapog Papers,625
The Love of Books: The Philobiblon of Richard de Bury,626
Essays of Travel,627
The Square Root of 3,628
The Square Root of 5,629
The Square Root of 6,630
The Square Root of 7,631
"The Golden Mean or Ratio[(1+sqrt(5))/2]
To 20,000 places",633
Miscellaneous Mathematical Constants,634
The Square Root of 10,635
Memoirs of Extraordinary Popular Delusions — Volume 1,636
An Outcast of the Islands,638
"The God-Idea of the Ancients; Or, Sex in Religion",639
The Yellow Fairy Book,640
The Violet Fairy Book,641
The Altar of the Dead,642
The Death of the Lion,643
The Haunted Man and the Ghost's Bargain,644
The Figure in the Carpet,645
The Coral Island: A Tale of the Pacific Ocean,646
The Dynamiter,647
"Wild Wales: Its People, Language and Scenery",648
"Ancient Poems, Ballads, and Songs of the Peasantry of England",649
Pictures from Italy,650
Phantasmagoria and Other Poems,651
"Rasselas, Prince of Abyssinia",652
"The Chimes
A Goblin Story of Some Bells That Rang an Old Year out and a New Year In",653
Grace Abounding to the Chief of Sinners,654
Life and Letters of Robert Browning,655
Life of Robert Browning,656
The Anglo-Saxon Chronicle,657
The Fall of Troy,658
"Paul the Peddler; Or, The Fortunes of a Young Street Merchant",659
"Phil, the Fiddler",671
Plutarch: Lives of the noble Grecians and Romans,674
American Notes,675
"The Heroes; Or, Greek Fairy Tales for My Children",677
The Cricket on the Hearth: A Fairy Tale of Home,678
Poems,679
The Golden Threshold,680
Creatures That Once Were Men,681
Catalan's Constant [Ramanujan's Formula],682
The Compleat Angler,683
Worldwide Effects of Nuclear War: Some Perspectives,684
The Atomic Bombings of Hiroshima and Nagasaki,685
"The Treaty of the European Union, Maastricht Treaty, 7th February, 1992",686
A Personal Record,687
"The Goodness of St. Rocque, and Other Stories",688
The Kreutzer Sonata and Other Stories,689
Proposed Roads to Freedom,690
The Complete Works of James Whitcomb Riley — Volume 1,691
The Complete Works of James Whitcomb Riley — Volume 10,692
"The Autobiography of a Quack, and The Case of George Dedlow",693
Stories from Everybody's Magazine,694
"Glaucus; Or, The Wonders of the Shore",695
The Castle of Otranto,696
The Light Princess,697
Memoir of Fleeming Jenkin,698
A Child's History of England,699
The Old Curiosity Shop,700
The King of the Golden River,701
Somebody's Little Girl,702
Lucasta,703
The Mansion,704
The Roadmender,705
The Amateur Cracksman,706
Raffles: Further Adventures of the Amateur Cracksman,707
The Princess and the Goblin,708
The Princess and Curdie,709
"Love of Life, and Other Stories",710
Allan Quatermain,711
"Thomas Jefferson, a Character Sketch",712
Memoirs of Extraordinary Popular Delusions — Volume 2,713
The Bobbsey Twins in the Country,714
The Moon Endureth: Tales and Fancies,715
The Cruise of the Jasper B.,716
Chita: A Memory of Last Island,717
Tono-Bungay,718
The Plays of W. E. Henley and R. L. Stevenson,719
Almayer's Folly: A Story of an Eastern River,720
The Birds' Christmas Carol,721
"James Otis, the Pre-Revolutionist",722
"Henry James, Jr.",723
The Man of Letters as a Man of Business,724
Men of Invention and Industry,725
A Psychological Counter-Current in Recent Fiction,726
The Star-Spangled Banner,727
Emile Zola,728
Oliver Twist,730
History of the Decline and Fall of the Roman Empire — Volume 1,731
History of the Decline and Fall of the Roman Empire — Volume 2,732
History of the Decline and Fall of the Roman Empire — Volume 3,733
History of the Decline and Fall of the Roman Empire — Volume 4,734
History of the Decline and Fall of the Roman Empire — Volume 5,735
History of the Decline and Fall of the Roman Empire — Volume 6,736
The Bobbsey Twins at School,737
The Puzzle of Dickens's Last Plot,738
Henry Clay's Remarks in House and Senate,739
"Remarks of Mr. Calhoun of South Carolina on the bill to prevent the interference of certain federal officers in elections: delivered in the Senate of the United States February 22, 1839",740
Thomas Hart Benton's Remarks to the Senate on the Expunging Resolution,741
Editorials from the Hearst Newspapers,742
"Thoughts on Man, His Nature, Productions and Discoveries
Interspersed with Some Particulars Respecting the Author",743
The Golden Mean,744
One Divided by Pi (To 1 Million Digits),745
Burning Daylight,746
Anomalies and Curiosities of Medicine,747
The Brother of Daphne,748
Barlaam and Ioasaph,749
The High History of the Holy Graal,750
The Autocrat of the Breakfast-Table,751
A Young Girl's Diary,752
Arizona Nights,753
The Story of Mankind,754
A Lady's Life in the Rocky Mountains,755
Arizona Sketches,756
"LandSat Picture of Washington, DC",758
James Pethel,759
Enoch Soames: A Memory of the Eighteen-Nineties,760
A. V. Laider,761
"British Airships, Past, Present, and Future",762
The Round-Up: A Romance of Arizona; Novelized from Edmund Day's Melodrama,763
"Hans Brinker; Or, The Silver Skates",764
The Moon Pool,765
David Copperfield,766
Agnes Grey,767
Wuthering Heights,768
The Book of Tea,769
"The Story of the Treasure Seekers
Being the Adventures of the Bastable Children in Search of a Fortune",770
"Lord Arthur Savile's Crime; The Portrait of Mr. W.H., and Other Stories",773
Essays and Lectures,774
When the Sleeper Wakes,775
Hermione and Her Little Group of Serious Thinkers,776
The Mastery of the Air,777
Five Children and It,778
"The Tragical History of Doctor Faustus
From the Quarto of 1604",779
The War in the Air,780
Sinking of the Titanic and Great Sea Disasters,781
The Travels of Sir John Mandeville,782
The Lost City,783
Boyhood in Norway: Stories of Boy-Life in the Land of the Midnight Sun,784
On the Nature of Things,785
Hard Times,786
The Man Between: An International Romance,787
The Red One,788
The Gathering of Brother Hilarius,789
Lady Windermere's Fan,790
The Princess,791
"Wieland; Or, The Transformation: An American Tale",792
Aeroplanes and Dirigibles of War,793
The Wouldbegoods: Being the Further Adventures of the Treasure Seekers,794
"Ballads and Lyrics of Old France, with Other Poems",795
A Sentimental Journey Through France and Italy,804
This Side of Paradise,805
Hunted Down: The Detective Stories of Charles Dickens,807
The Complete Plays of Gilbert and Sullivan,808
Holiday Romance,809
George Silverman's Explanation,810
"The Tragical History of Doctor Faustus
From the Quarto of 1616",811
"Catalan's Constant to 1,500,000 Places",812
"Reminiscences of Tolstoy, by His Son",813
Hunting Sketches,814
Democracy in America — Volume 1,815
Democracy in America — Volume 2,816
"The Jargon File, Version 4.0.0, 24 Jul 1996",817
The Aeroplane Speaks,818
The History of the Telephone,819
Edison: His Life and Inventions,820
Dombey and Son,821
The Life of St. Declan of Ardmore,823
Speeches: Literary and Social,824
Gulliver's Travels into Several Remote Nations of the World,829
The Argonautica,830
Four Arthurian Romances,831
Robin Hood,832
The Theory of the Leisure Class,833
The Memoirs of Sherlock Holmes,834
The Phoenix and the Carpet,836
The Story of the Amulet,837
"Jasmin: Barber, Poet, Philanthropist",838
New Arabian Nights,839
Lorna Doone: A Romance of Exmoor,840
"Men, Women and Ghosts",841
Memoirs of Carwin the Biloquist (A Fragment),842
The Life of Francis Marion,843
The Importance of Being Earnest: A Trivial Comedy for Serious People,844
Poems of Henry Timrod; with Memoir,845
The Life of General Francis Marion,846
Lays of Ancient Rome,847
The Black Arrow: A Tale of Two Roses,848
The Idle Thoughts of an Idle Fellow,849
Tom Grogan,850
Narrative of the Captivity and Restoration of Mrs. Mary Rowlandson,851
Democracy and Education: An Introduction to the Philosophy of Education,852
The Confutatio Pontificia,853
A Woman of No Importance,854
Clocks,855
Dreams,856
Evergreens,857
Stage-Land,858
Polly of the Circus,859
Baby Mine,860
The Dominion of the Air: The Story of Aerial Navigation,861
Philosophy 4: A Story of Harvard University,862
The Mysterious Affair at Styles,863
The Master of Ballantrae: A Winter's Tale,864
Passing of the Third Floor Back,865
The Cost of Kindness,866
Mrs. Korner Sins Her Mercies,867
The Philosopher's Joke,868
"The Soul of Nicholas Snyders; Or, The Miser of Zandam",869
The Love of Ulrich Nebendahl,870
"The Golden Sayings of Epictetus, with the Hymn of Cleanthes",871
Reprinted Pieces,872
A House of Pomegranates,873
A History of Aeronautics,874
The Duchess of Padua,875
"Life in the Iron-Mills; Or, The Korl Woman",876
Little Britain,877
Yankee Gypsies,878
The Boy Captives: An Incident of the Indian War of 1695,879
My Garden Acquaintance,880
Lemorne Versus Huell,881
"Sketches by Boz, Illustrative of Every-Day Life and Every-Day People",882
Our Mutual Friend,883
Memoirs of Extraordinary Popular Delusions — Volume 3,884
An Ideal Husband,885
Letters from the Cape,886
Intentions,887
The Lazy Tour of Two Idle Apprentices,888
Two Years in the Forbidden City,889
"The Jubilee of the Constitution
Delivered at New York, April 30, 1839, Before the New York Historical Society",896
The Rose and the Ring,897
The Lesson of the Master,898
"Wonderful Balloon Ascents; Or, The Conquest of the Skies
A History of Balloons and Balloon Voyages",899
The Jew of Malta,901
"The Happy Prince, and Other Tales",902
The White Company,903
Her Father's Daughter,904
Within the Law: From the Play of Bayard Veiller,905
Abraham Lincoln,906
"Flying Machines: Construction and Operation
A Practical Book Which Shows, in Illustrations, Working Plans and Text, How to Build and Navigate the Modern Airship",907
Treatise on Parents and Children,908
"The Adventures of Col. Daniel Boon
Containing a Narrative of the Wars of Kentucke",909
White Fang,910
Tales of the Fish Patrol,911
Mudfog and Other Sketches,912
A Hero of Our Time,913
